State,Percentage of Renters,Percentage of College Grads,Percentage of People with incomes 50% or less of poverty threshold,Percentage of people Unemployed,Median Household Income,Gini Coefficient of Income Inequality,Population Density,State Full Name,Condo/Coop ZHVI,Median Rent (2020),Bottom-Tier ZHVI,Mid-Tier ZHVI,Top-Tier ZHVI,"Proportion State Overall Homeless,2020",All Single Family ZHVI,Homelessness Rate (%),Pecentage of Senate members who are Democrats,Percentage of House Representatives who are Democrats,Democratic Governer,Percentage of Households that are Crowded,Resident Population Density,Percentage of Households with Children
AL,30.817991383656057,26.227345285863723,7.077395614984782,5.582389039646306,52035.0,0.4777,96.61329152942398,Alabama,173928.0,600.0,70582.0,149835.0,274554.0,0.0006668918164552919,149287.0,0.06668918164552919,0.2285714286,0.2666666667,1.0,0.017000000000000015,99.2,0.25394174436485173
AK,35.19063537286468,29.986802803266617,4.845679655845825,7.183335553012739,77790.0,0.423,1.2906499408891408,Alaska,215783.0,1122.0,179103.0,294489.0,449387.0,0.002660965183543794,308538.0,0.26609651835437936,0.35,0.375,1.0,0.06499999999999995,1.3,0.30457375976298434
AZ,34.6615571435597,30.30707858101516,6.549480471906527,5.837372383060323,61529.0,0.4661,63.12228937248472,Arizona,182196.0,924.0,186864.0,271061.0,435933.0,0.0015295376725449172,276327.0,0.15295376725449172,0.4333333333,0.4833333333,1.0,0.04400000000000004,62.9,0.26568019580620633
AR,34.177869435066086,23.81653724585809,6.7168903931303525,5.1904807405541415,49475.0,0.4792,57.92860284560635,Arkansas,157742.0,579.0,63611.0,133003.0,238821.0,0.0007854640678407241,132709.0,0.0785464067840724,0.2571428571,0.24,1.0,0.028000000000000025,57.9,0.2742494088218811
CA,44.73590018372732,34.71525729301358,5.633689162356081,6.183742551874064,78672.0,0.4874,252.44735918222665,California,507758.0,1442.0,338926.0,560032.0,1051302.0,0.004089849912422204,567863.0,0.40898499124222043,0.725,0.7625,0.0,0.08200000000000007,253.7,0.29719057622485767
CO,33.782975780877905,41.60357202735676,4.640604131367946,4.634178732236086,75231.0,0.4565,54.85417947675149,Colorado,316717.0,1217.0,275955.0,410569.0,651390.0,0.0017021915153895679,418722.0,0.17021915153895678,0.5428571429,0.6307692308,0.0,0.025000000000000022,55.7,0.27567486135036834
CT,33.926407335735945,40.0127751631545,4.486210442364798,6.042025014567833,79855.0,0.4965,737.3551855967653,Connecticut,164628.0,1023.0,170446.0,262363.0,466775.0,0.0008068861693322148,277648.0,0.08068861693322149,0.6111111111,0.6026490066,0.0,0.018000000000000016,744.7,0.26882420492595477
DE,28.585292476405368,32.65962610499066,5.177813710470792,5.839581538563002,69110.0,0.4568,496.6138913965196,Delaware,273952.0,979.0,174682.0,264230.0,410685.0,0.0011745301375359668,263754.0,0.11745301375359668,0.5714285714,0.6341463415,0.0,0.015999999999999903,508,0.24483425123937533
FL,33.79560231704385,30.546354761609155,5.871332313918475,5.4303535115579065,57703.0,0.4856,395.4532091092936,Florida,193030.0,1068.0,155033.0,250769.0,434474.0,0.001274320197207854,261539.0,0.1274320197207854,0.425,0.3916666667,1.0,0.030000000000000027,401.4,0.23490133348664968
GA,35.95326588454477,32.197329350346784,6.432147542250137,5.603971721191324,61224.0,0.4814,182.20950862308047,Georgia,203383.0,843.0,118876.0,209990.0,360974.0,0.0009541479423446269,210317.0,0.0954147942344627,0.375,0.4166666667,1.0,0.02200000000000002,185.6,0.2908475760417559
HI,39.72692613456656,33.56897622796744,4.604376013787143,4.554936035322087,83173.0,0.4414,221.1099001594585,Hawaii,476096.0,1497.0,377677.0,660900.0,1061714.0,0.004447931037095249,740425.0,0.4447931037095249,0.96,0.9019607843,0.0,0.08700000000000008,226.6,0.2523635912910423
ID,29.24245994526405,28.66798097340188,5.0196985209277925,4.20999016439511,58915.0,0.4422,21.227708953985733,Idaho,268218.0,757.0,201039.0,294418.0,460477.0,0.0012528602013668353,294999.0,0.12528602013668352,0.2,0.2,1.0,0.025999999999999912,22.3,0.29282811154799254
IL,33.70725713704231,35.51721597384508,5.546094763105121,5.958204718800669,68428.0,0.4801,229.0656884544864,Illinois,195993.0,893.0,112993.0,208568.0,360559.0,0.0008158623475733159,209575.0,0.0815862347573316,0.6779661017,0.6271186441,0.0,0.02400000000000002,230.8,0.27090325038937885
IN,30.52428758591808,27.15506316359842,6.023693271584095,4.730371908162758,58235.0,0.4502,186.92811474508187,Indiana,155873.0,667.0,90940.0,161047.0,272093.0,0.0008289559546595725,161266.0,0.08289559546595725,0.2,0.33,1.0,0.015999999999999903,189.4,0.275448848726549
IA,28.80620060112674,29.31852129163689,5.044237114604868,3.919363820321452,61836.0,0.4405,56.39781721389203,Iowa,141502.0,651.0,84950.0,156708.0,270657.0,0.0008301269275675839,158005.0,0.08301269275675839,0.36,0.47,1.0,0.017000000000000015,57.1,0.27422463049701673
KS,33.772422579981345,33.92345148248683,5.044231956324523,4.075837317236967,61091.0,0.4561,35.62462183348012,Kansas,129249.0,665.0,77139.0,158832.0,293180.0,0.0008341621592163167,159291.0,0.08341621592163168,0.275,0.328,0.0,0.020999999999999908,35.9,0.2838233426883891
KY,32.43791807227813,25.02337294788484,7.376747127667868,5.376606883879149,52238.0,0.4776,112.9848085843998,Kentucky,150265.0,610.0,77182.0,150617.0,262546.0,0.0008905500450936709,150644.0,0.0890550045093671,0.2368421053,0.38,0.0,0.020000000000000018,114.1,0.26750962356404523
LA,33.352892424238966,24.86198527163388,8.365409459053653,6.559917045359587,50800.0,0.4991,107.9516603599197,Louisiana,150745.0,711.0,93781.0,173437.0,294378.0,0.0006821891024752091,173951.0,0.06821891024752091,0.3076923077,0.3333333333,0.0,0.02300000000000002,107.8,0.26804040740749197
ME,27.14629594189107,32.48980796734478,4.299644642257357,4.038760284340539,59489.0,0.4493,43.46963264626408,Maine,273726.0,768.0,147853.0,249921.0,421079.0,0.0015393311213553749,248194.0,0.15393311213553748,0.6,0.582781457,0.0,0.014000000000000012,44.2,0.22759507050290492
MD,32.93835941013043,40.89559435041868,4.439700178206854,5.165804471290451,87063.0,0.4526,621.7174981407212,Maryland,219303.0,1264.0,193704.0,318111.0,516199.0,0.0010303467910772615,326051.0,0.10303467910772615,0.6808510638,0.695035461,1.0,0.02300000000000002,636.1,0.2807354495148456
MA,37.47999607099411,44.52740631952404,4.619629371995874,5.086476051675104,84385.0,0.4826,881.0456151614251,Massachusetts,394715.0,1182.0,279389.0,436169.0,731894.0,0.0025597318226999437,443352.0,0.2559731822699944,0.85,0.7875,1.0,0.020000000000000018,901.2,0.26074772004321906
MI,28.261499826148476,29.98582949816405,6.181344805953038,6.015173209961305,59234.0,0.4655,176.1918573610554,Michigan,201271.0,737.0,90283.0,175455.0,311463.0,0.0008579944662436092,172911.0,0.08579944662436093,0.4210526316,0.4727272727,0.0,0.015999999999999903,178,0.25558008123790327
MN,28.05164701982076,36.781007343183504,4.18741724417724,3.809014899509941,73382.0,0.4491,70.33026715576537,Minnesota,186619.0,916.0,165961.0,262920.0,405976.0,0.001391233651033394,265950.0,0.1391233651033394,0.4776119403,0.5597014925,0.0,0.02300000000000002,71.7,0.280514658594159
MS,31.225299982357928,22.752068466127984,8.829811513682964,7.1259508963192415,46511.0,0.4838,63.54611024149766,Mississippi,146475.0,595.0,69071.0,129037.0,231243.0,0.00037438237054723404,128784.0,0.037438237054723406,0.3076923077,0.3770491803,1.0,0.02400000000000002,63.1,0.27079144834231705
MO,32.90033816733956,29.941256351764707,5.659659827761701,4.5146961297907175,57290.0,0.4634,89.08324925347357,Missouri,155457.0,651.0,94448.0,169842.0,292057.0,0.001060528093270578,170559.0,0.1060528093270578,0.2352941176,0.2944785276,1.0,0.018000000000000016,89.5,0.2623640896774542
MT,31.491945840824865,33.14277625332114,5.474727204314562,4.154379782669596,56539.0,0.4611,7.294417090531137,Montana,270311.0,731.0,176122.0,291225.0,479071.0,0.0014223991500589674,291714.0,0.14223991500589675,0.4,0.42,0.0,0.019000000000000017,7.4,0.23813662716031261
NE,33.83129223661505,32.49718151071026,4.440998423614859,3.393030729954797,63015.0,0.4432,25.04398889901729,Nebraska,178280.0,704.0,106920.0,185089.0,300815.0,0.0012256207764134279,185210.0,0.12256207764134279,0.3469387755,,1.0,0.020000000000000018,25.5,0.2899852999296953
NV,42.93294490053637,25.45572207735145,5.843831800943632,6.570805540294061,62043.0,0.4638,27.58300023541995,Nevada,166275.0,1005.0,220793.0,306514.0,456140.0,0.002215749094994944,317307.0,0.2215749094994944,0.619047619,0.6666666667,0.0,0.04200000000000004,28.3,0.2676336779022505
NH,28.80215018660177,37.55140748917277,3.490329608385322,3.753647677217141,77923.0,0.4404,151.36043317432288,New Hampshire,228385.0,1003.0,197013.0,298324.0,452412.0,0.0012156638468103884,309399.0,0.12156638468103884,0.5833333333,0.585,1.0,0.015000000000000013,153.8,0.24693757929647794
NJ,35.99045125783377,40.73363469752253,4.2795490183837295,5.784824410960805,85245.0,0.4788,1208.1181657170553,New Jersey,280874.0,1222.0,209053.0,343292.0,579091.0,0.001041192627856181,350922.0,0.10411926278561809,0.5102040816,0.65,0.0,0.03299999999999992,"1,263.00",0.29319992885202995
NM,31.99891517555865,28.141635189196908,8.126747582293081,6.575097213306114,51243.0,0.4742,17.286072888384727,New Mexico,179255.0,732.0,133600.0,208201.0,349471.0,0.0015739769150052466,209094.0,0.15739769150052466,0.619047619,0.6571428571,0.0,0.03400000000000003,17.5,0.2516325977130387
NY,45.87576160568968,37.45866502964249,6.201572531216367,5.700450455175829,71117.0,0.5127,414.1206321438555,New York,614134.0,1192.0,140505.0,312981.0,675078.0,0.004528469531503776,282744.0,0.4528469531503776,0.6349206349,0.6933333333,0.0,0.050999999999999934,428.7,0.2561260115644344
NC,34.27288773268724,32.04118266147163,6.151056659863562,5.444667895484379,56642.0,0.4759,213.6072180680812,North Carolina,190950.0,749.0,116945.0,211939.0,369063.0,0.0008874287965098038,213060.0,0.08874287965098038,0.42,0.4583333333,0.0,0.02200000000000002,214.7,0.26891808496494685
ND,37.46092690877699,30.682478267423747,5.083020539735433,3.103223627063025,65315.0,0.4508,11.02086368789443,North Dakota,159886.0,744.0,157675.0,236597.0,349987.0,0.0006945139814265651,241706.0,0.06945139814265651,0.2127659574,0.1595744681,1.0,0.02200000000000002,11.3,0.26244962960423596
OH,33.68619608218898,28.89019117485963,6.124668270959786,5.303441899639693,58116.0,0.4646,285.7471636030709,Ohio,143324.0,658.0,86146.0,155894.0,275835.0,0.0009036869835233818,157051.0,0.09036869835233818,0.2727272727,0.3838383838,1.0,0.014000000000000012,288.8,0.2589799598323252
OK,33.946473179344245,26.1479966917846,6.763940535960969,5.091278236720619,53840.0,0.4673,57.57349503647485,Oklahoma,86288.0,639.0,66080.0,135602.0,236992.0,0.000992420301607938,136273.0,0.0992420301607938,0.1875,0.2277227723,1.0,0.027000000000000024,57.7,0.28262370201845377
OR,37.23248623049485,34.40076337173962,5.600886948269162,5.457944118221274,65667.0,0.4579,43.5054275984489,Oregon,286892.0,1035.0,263406.0,377681.0,558361.0,0.0034551097430558305,381706.0,0.34551097430558303,0.6,0.6166666667,0.0,0.03200000000000003,44.1,0.2562519063010059
PA,31.025177020879447,32.33056336608751,5.40610884212163,5.355952124453365,63627.0,0.4702,285.96863591172064,Pennsylvania,187911.0,788.0,113622.0,201556.0,351930.0,0.001029667908041995,202347.0,0.1029667908041995,0.42,0.4581280788,0.0,0.014000000000000012,290.6,0.2502764559048181
PR,32.20819590146871,26.67188265401104,23.47594406370093,15.073505379582658,21058.0,0.5448,950.7410677638524,Puerto Rico,,383.0,,,,0.0007469058715760719,,0.0746905871576072,,,0.0,0.025999999999999912,959.6,0.2299193281520449
RI,38.40570973886625,35.02218865074119,5.020805720196494,5.51956822262594,70305.0,0.4661,1023.1256443763176,Rhode Island,245632.0,885.0,229470.0,308632.0,499371.0,0.0010070888473120124,313973.0,0.10070888473120124,0.8684210526,0.88,0.0,0.019000000000000017,"1,061.40",0.25409302437730574
SC,29.8799733466702,28.98987822785574,6.683674798961897,5.533765058826172,54864.0,0.477,169.35434568141554,South Carolina,174667.0,717.0,111079.0,199112.0,358450.0,0.0008355537780303735,201154.0,0.08355537780303735,0.4130434783,0.3548387097,1.0,0.019000000000000017,170.2,0.25049286737929144
SD,32.01783383829964,29.29646838226677,6.11853019731501,3.5096833718483773,59896.0,0.4413,11.59926750453154,South Dakota,172670.0,649.0,140798.0,217210.0,343341.0,0.0011926515529833762,217937.0,0.11926515529833762,0.1428571429,0.1571428571,1.0,0.02200000000000002,11.7,0.271690075256268
TN,33.45088285271012,28.15086173803138,6.313621872628141,5.334661176031095,54833.0,0.4775,164.24592623312296,Tennessee,223357.0,708.0,101357.0,198438.0,355422.0,0.0010485368820969698,197244.0,0.10485368820969698,0.1515151515,0.2626262626,1.0,0.018000000000000016,167.6,0.2630724903436505
TX,37.72698961343903,30.68955949833958,6.240681706920313,5.296687646094671,63826.0,0.4765,109.60185997609835,Texas,187469.0,915.0,127027.0,217335.0,380886.0,0.0009319365932643529,218058.0,0.09319365932643528,0.3870967742,0.44,1.0,0.04700000000000004,111.6,0.3220387095992659
UT,29.469624107360875,34.684490856700016,4.087975399485953,3.624615469471974,74197.0,0.4245,38.25393802897607,Utah,288044.0,958.0,265827.0,362626.0,552252.0,0.0009540833303876912,369152.0,0.09540833303876911,0.2068965517,0.2133333333,1.0,0.03400000000000003,39.7,0.36706616368248207
VT,28.715018337315296,39.65898269353004,4.852834792928603,3.761490188499123,63477.0,0.4485,67.73457861774051,Vermont,234925.0,877.0,164910.0,262073.0,409461.0,0.001727639903812481,265823.0,0.1727639903812481,0.7333333333,0.6266666667,1.0,0.015999999999999903,69.8,0.2252750597294295
VA,33.30118422007204,39.51492031223181,4.763181244189533,4.626257620107683,76398.0,0.4735,215.52442051522303,Virginia,262067.0,1088.0,164874.0,290590.0,538058.0,0.0006901030624959743,293797.0,0.06901030624959743,0.525,0.55,0.0,0.019000000000000017,218.6,0.27892721413539245
WA,36.745643745556336,36.67926914473733,4.73721497367287,4.899501012836889,77006.0,0.4574,113.04569367685822,Washington,345522.0,1202.0,278676.0,418718.0,716115.0,0.002969767910364131,424191.0,0.2969767910364131,0.5918367347,0.5816326531,0.0,0.03400000000000003,115.9,0.27593396980269264
WV,26.3470142393103,21.296954751614063,7.527721433978643,6.534070573638427,48037.0,0.4661,75.18050525078468,West Virginia,124864.0,543.0,53375.0,111407.0,207532.0,0.0007492465630199609,111257.0,0.07492465630199609,0.4117647059,0.41,1.0,0.013000000000000012,74.6,0.23096556279665229
WI,32.86191590602771,30.80137253592184,4.911630651905606,3.551546960022062,63293.0,0.4448,107.20475237791794,Wisconsin,185898.0,741.0,123019.0,199858.0,324050.0,0.0007662512730547867,201457.0,0.07662512730547867,0.4242424242,0.3636363636,0.0,0.015999999999999903,108.8,0.2582728291563899
WY,29.027444893689093,28.18066335895158,4.919927036400651,4.398580158817287,65304.0,0.4393,5.987799468905971,Wyoming,315905.0,734.0,168057.0,258273.0,428799.0,0.0010601679985171506,257788.0,0.10601679985171505,0.1,0.15,1.0,0.020000000000000018,5.9,0.2692780976799825
DC,,,,,,,,,,,,,,,,,,,,,"11,280.00",0.1764854824891522
